Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,Customer_Segment
380,18,319.75,2,1,1,211,4,Needs Attention
10,20,361.62,4,1,2,412,7,Loyal Customers
64,9,312.98,3,1,1,311,5,Potential Loyalist
24,84,1290.34,4,3,3,433,10,Champions
719,19,310.72,1,1,1,111,3,Needs Attention
91,11,3335.0,3,1,4,314,8,Loyal Customers
51,221,3443.8,3,4,4,344,11,Champions
87,94,1586.81,3,3,3,333,9,Champions
95,141,4516.76,3,3,4,334,10,Champions
606,13,170.45000000000002,1,1,1,111,3,Needs Attention
8,24,1056.94,4,2,3,423,9,Champions
8,187,12158.21,4,4,4,444,12,Champions
500,77,1253.94,1,3,3,133,7,Loyal Customers
168,62,1058.88,2,3,3,233,8,Loyal Customers
392,129,997.11,1,3,3,133,7,Loyal Customers
56,11,216.17,3,1,1,311,5,Potential Loyalist
325,36,515.86,2,2,2,222,6,Potential Loyalist
0,77,1240.0,4,3,3,433,10,Champions
428,23,251.31,1,2,1,121,4,Needs Attention
17,163,2534.04,4,4,4,444,12,Champions
244,74,1217.63,2,3,3,233,8,Loyal Customers
386,1,662.4000000000001,1,1,2,112,4,Needs Attention
57,30,501.56,3,2,2,322,7,Loyal Customers
73,7,145.67000000000002,3,1,1,311,5,Potential Loyalist
30,61,1015.29,3,3,3,333,9,Champions
6,33,3192.54,4,2,4,424,10,Champions
122,860,8111.57,2,4,4,244,10,Champions
1,245,5689.84,4,4,4,444,12,Champions
22,409,7804.95,4,4,4,444,12,Champions
512,61,891.32,1,3,3,133,7,Loyal Customers
119,61,1031.02,2,3,3,233,8,Loyal Customers
357,73,1989.2,2,3,3,233,8,Loyal Customers
53,270,4814.37,3,4,4,344,11,Champions
63,7,122.7,3,1,1,311,5,Potential Loyalist
85,25,446.33,3,2,2,322,7,Loyal Customers
54,107,2473.06,3,3,4,334,10,Champions
645,25,395.5,1,2,2,122,5,Potential Loyalist
20,229,4391.66,4,4,4,444,12,Champions
3,467,44392.5,4,4,4,444,12,Champions
2,66,1131.28,4,3,3,433,10,Champions
0,336,6342.74,4,4,4,444,12,Champions
6,194,1852.38,4,4,3,443,11,Champions
188,28,506.8,2,2,2,222,6,Potential Loyalist
70,16,243.56,3,1,1,311,5,Potential Loyalist
203,19,349.55,2,1,2,212,5,Potential Loyalist
119,184,2169.05,2,4,3,243,9,Champions
92,90,1855.73,3,3,3,333,9,Champions
0,183,2858.73,4,4,4,444,12,Champions
377,100,863.5600000000001,2,3,3,233,8,Loyal Customers
26,36,1267.6499999999999,3,2,3,323,8,Loyal Customers
297,21,821.1,2,1,2,212,5,Potential Loyalist
21,30,535.97,4,2,2,422,8,Loyal Customers
20,188,3923.62,4,4,4,444,12,Champions
625,21,388.55,1,1,2,112,4,Needs Attention
49,59,1160.72,3,3,3,333,9,Champions
325,46,686.4,2,2,2,222,6,Potential Loyalist
15,19,388.52,4,1,2,412,7,Loyal Customers
182,96,1608.09,2,3,3,233,8,Loyal Customers
71,318,5599.34,3,4,4,344,11,Champions
631,67,30411.26,1,3,4,134,8,Loyal Customers
399,10,165.45000000000002,1,1,1,111,3,Needs Attention
36,26,332.64,3,2,2,322,7,Loyal Customers
570,15,244.45,1,1,1,111,3,Needs Attention
408,1,42.0,1,1,1,111,3,Needs Attention
691,4,136.8,1,1,1,111,3,Needs Attention
79,126,2347.05,3,3,4,334,10,Champions
422,39,286.6,1,2,1,121,4,Needs Attention
442,1,-127.66,1,1,1,111,3,Needs Attention
56,242,4200.04,3,4,4,344,11,Champions
423,7,124.95,1,1,1,111,3,Needs Attention
506,3,42.22,1,1,1,111,3,Needs Attention
3,34,613.95,4,2,2,422,8,Loyal Customers
393,4,31.200000000000003,1,1,1,111,3,Needs Attention
463,75,1260.51,1,3,3,133,7,Loyal Customers
49,18,272.04,3,1,1,311,5,Potential Loyalist
49,30,1212.8400000000001,3,2,3,323,8,Loyal Customers
52,82,1326.03,3,3,3,333,9,Champions
431,88,1734.88,1,3,3,133,7,Loyal Customers
398,45,720.75,1,2,2,122,5,Potential Loyalist
351,33,824.7,2,2,2,222,6,Potential Loyalist
53,20,351.13,3,1,2,312,6,Potential Loyalist
1,137,1682.08,4,3,3,433,10,Champions
35,45,616.65,3,2,2,322,7,Loyal Customers
22,11,223.85000000000002,4,1,1,411,6,Potential Loyalist
74,44,689.96,3,2,2,322,7,Loyal Customers
10,27,464.57,4,2,2,422,8,Loyal Customers
168,60,3318.1,2,3,4,234,9,Champions
57,17,337.34,3,1,2,312,6,Potential Loyalist
85,272,5250.78,3,4,4,344,11,Champions
294,16,307.4,2,1,1,211,4,Needs Attention
108,23,608.7900000000001,2,2,2,222,6,Potential Loyalist
263,31,922.1,2,2,3,223,7,Loyal Customers
596,80,6116.92,1,3,4,134,8,Loyal Customers
170,60,924.36,2,3,3,233,8,Loyal Customers
168,55,867.38,2,3,3,233,8,Loyal Customers
34,7,71.66,3,1,1,311,5,Potential Loyalist
22,113,1533.66,4,3,3,433,10,Champions
16,49,839.14,4,2,2,422,8,Loyal Customers
21,108,10846.15,4,3,4,434,11,Champions
534,1,320.0,1,1,1,111,3,Needs Attention
577,15,246.54,1,1,1,111,3,Needs Attention
652,35,200.43,1,2,1,121,4,Needs Attention
394,51,854.15,1,2,3,123,6,Potential Loyalist
78,57,1745.43,3,3,3,333,9,Champions
64,5,90.6,3,1,1,311,5,Potential Loyalist
360,25,536.86,2,2,2,222,6,Potential Loyalist
2,160,2427.32,4,4,4,444,12,Champions
10,36,728.56,4,2,2,422,8,Loyal Customers
175,39,674.45,2,2,2,222,6,Potential Loyalist
210,413,12790.891,2,4,4,244,10,Champions
6,25,6640.68,4,2,4,424,10,Champions
1,30,378.59,4,2,2,422,8,Loyal Customers
153,87,545.17,2,3,2,232,7,Loyal Customers
4,152,1026.42,4,4,3,443,11,Champions
417,27,458.25,1,2,2,122,5,Potential Loyalist
371,250,4402.33,2,4,4,244,10,Champions
78,163,1076.18,3,4,3,343,10,Champions
20,12,230.22,4,1,1,411,6,Potential Loyalist
384,21,498.7,1,1,2,112,4,Needs Attention
21,23,362.8,4,2,2,422,8,Loyal Customers
307,176,2899.62,2,4,4,244,10,Champions
386,25,421.9,1,2,2,122,5,Potential Loyalist
454,28,777.6600000000001,1,2,2,122,5,Potential Loyalist
434,22,390.86,1,2,2,122,5,Potential Loyalist
145,6,166.3,2,1,1,211,4,Needs Attention
422,8,123.66,1,1,1,111,3,Needs Attention
6,1115,13212.77,4,4,4,444,12,Champions
385,13,846.55,1,1,3,113,5,Potential Loyalist
8,265,4593.83,4,4,4,444,12,Champions
70,15,190.25,3,1,1,311,5,Potential Loyalist
286,11,264.7,2,1,1,211,4,Needs Attention
48,45,663.52,3,2,2,322,7,Loyal Customers
30,755,5327.29,3,4,4,344,11,Champions
206,56,1192.36,2,3,3,233,8,Loyal Customers
410,13,519.8100000000001,1,1,2,112,4,Needs Attention
14,15,196.79000000000002,4,1,1,411,6,Potential Loyalist
72,412,3326.83,3,4,4,344,11,Champions
59,69,753.12,3,3,2,332,8,Loyal Customers
400,23,327.39,1,2,2,122,5,Potential Loyalist
38,265,4418.79,3,4,4,344,11,Champions
29,359,6993.41,3,4,4,344,11,Champions
26,94,1616.1200000000001,3,3,3,333,9,Champions
3,485,9982.31,4,4,4,444,12,Champions
16,13,320.46,4,1,1,411,6,Potential Loyalist
379,46,682.54,2,2,2,222,6,Potential Loyalist
19,300,4708.64,4,4,4,444,12,Champions
65,86,2026.06,3,3,3,333,9,Champions
212,16,311.3,2,1,1,211,4,Needs Attention
11,86,850.63,4,3,3,433,10,Champions
29,11,219.5,3,1,1,311,5,Potential Loyalist
31,267,6690.36,3,4,4,344,11,Champions
3,155,2313.14,4,4,4,444,12,Champions
14,238,3836.26,4,4,4,444,12,Champions
385,33,895.76,1,2,3,123,6,Potential Loyalist
518,46,382.31,1,2,2,122,5,Potential Loyalist
446,31,566.7,1,2,2,122,5,Potential Loyalist
9,475,9438.01,4,4,4,444,12,Champions
205,52,1877.5900000000001,2,2,3,223,7,Loyal Customers
45,113,4517.34,3,3,4,334,10,Champions
133,47,529.73,2,2,2,222,6,Potential Loyalist
732,16,209.41,1,1,1,111,3,Needs Attention
42,241,6258.45,3,4,4,344,11,Champions
9,84,2874.72,4,3,4,434,11,Champions
115,77,2196.67,2,3,4,234,9,Champions
512,5,79.48,1,1,1,111,3,Needs Attention
374,33,493.74,2,2,2,222,6,Potential Loyalist
197,76,1090.23,2,3,3,233,8,Loyal Customers
564,28,288.09999999999997,1,2,1,121,4,Needs Attention
479,33,451.91999999999996,1,2,2,122,5,Potential Loyalist
277,11,328.8,2,1,2,212,5,Potential Loyalist
109,72,1006.22,2,3,3,233,8,Loyal Customers
76,76,1948.21,3,3,3,333,9,Champions
52,20,917.34,3,1,3,313,7,Loyal Customers
153,450,11379.71,2,4,4,244,10,Champions
570,14,229.75,1,1,1,111,3,Needs Attention
644,13,367.15000000000003,1,1,2,112,4,Needs Attention
46,68,1398.96,3,3,3,333,9,Champions
16,76,1213.26,4,3,3,433,10,Champions
154,90,1716.58,2,3,3,233,8,Loyal Customers
224,47,792.15,2,2,2,222,6,Potential Loyalist
6,31,584.07,4,2,2,422,8,Loyal Customers
121,34,645.74,2,2,2,222,6,Potential Loyalist
464,102,3969.1,1,3,4,134,8,Loyal Customers
470,50,713.11,1,2,2,122,5,Potential Loyalist
60,6,104.82,3,1,1,311,5,Potential Loyalist
498,13,3175.5,1,1,4,114,6,Potential Loyalist
62,15,467.66,3,1,2,312,6,Potential Loyalist
17,870,8145.59,4,4,4,444,12,Champions
6,805,38025.97,4,4,4,444,12,Champions
1,255,4786.07,4,4,4,444,12,Champions
554,1,109.44,1,1,1,111,3,Needs Attention
21,92,512.02,4,3,2,432,9,Champions
28,154,2852.47,3,4,4,344,11,Champions
284,38,626.65,2,2,2,222,6,Potential Loyalist
175,115,755.95,2,3,2,232,7,Loyal Customers
77,168,3000.93,3,4,4,344,11,Champions
32,10,267.28000000000003,3,1,1,311,5,Potential Loyalist
40,808,12457.84,3,4,4,344,11,Champions
265,21,141.41,2,1,1,211,4,Needs Attention
724,21,431.98,1,1,2,112,4,Needs Attention
490,43,301.3,1,2,1,121,4,Needs Attention
26,852,3106.15,3,4,4,344,11,Champions
108,43,9660.63,2,2,4,224,8,Loyal Customers
283,14,154.99,2,1,1,211,4,Needs Attention
8,171,4158.7300000000005,4,4,4,444,12,Champions
276,144,713.89,2,3,2,232,7,Loyal Customers
16,1107,13064.03,4,4,4,444,12,Champions
31,54,746.36,3,3,2,332,8,Loyal Customers
0,344,22104.5,4,4,4,444,12,Champions
19,125,480.81,4,3,2,432,9,Champions
123,9,572.3,2,1,2,212,5,Potential Loyalist
64,6,92.46,3,1,1,311,5,Potential Loyalist
105,33,1520.96,2,2,3,223,7,Loyal Customers
0,1128,8124.4,4,4,4,444,12,Champions
23,461,8338.28,4,4,4,444,12,Champions
462,24,469.19,1,2,2,122,5,Potential Loyalist
266,8,183.6,2,1,1,211,4,Needs Attention
4,272,9503.14,4,4,4,444,12,Champions
506,19,917.4300000000001,1,1,3,113,5,Potential Loyalist
9,348,25434.83,4,4,4,444,12,Champions
430,44,-3767.1999999999994,1,2,1,121,4,Needs Attention
28,252,3039.75,3,4,4,344,11,Champions
388,50,889.37,1,2,3,123,6,Potential Loyalist
266,7,152.55,2,1,1,211,4,Needs Attention
63,52,374.7,3,2,2,322,7,Loyal Customers
319,112,1504.97,2,3,3,233,8,Loyal Customers
514,42,230.06,1,2,1,121,4,Needs Attention
684,42,326.55,1,2,2,122,5,Potential Loyalist
3,333,1307.41,4,4,3,443,11,Champions
666,19,390.85,1,1,2,112,4,Needs Attention
20,14,139.54,4,1,1,411,6,Potential Loyalist
622,6,219.39999999999998,1,1,1,111,3,Needs Attention
4,81,1734.87,4,3,3,433,10,Champions
128,46,122.47,2,2,1,221,5,Potential Loyalist
40,56,615.0799999999999,3,3,2,332,8,Loyal Customers
101,163,1692.6299999999999,2,4,3,243,9,Champions
124,13,618.73,2,1,2,212,5,Potential Loyalist
32,84,1075.73,3,3,3,333,9,Champions
266,951,5250.05,2,4,4,244,10,Champions
364,65,413.36,2,3,2,232,7,Loyal Customers
3,255,1407.26,4,4,3,443,11,Champions
511,7,150.5,1,1,1,111,3,Needs Attention
1,1069,10092.22,4,4,4,444,12,Champions
462,1,39.95,1,1,1,111,3,Needs Attention
2,223,803.47,4,4,2,442,10,Champions
9,686,62400.02,4,4,4,444,12,Champions
56,14,161.0,3,1,1,311,5,Potential Loyalist
324,1,76.32000000000001,2,1,1,211,4,Needs Attention
653,13,9530.08,1,1,4,114,6,Potential Loyalist
7,377,7209.74,4,4,4,444,12,Champions
11,105,442.85,4,3,2,432,9,Champions
439,48,334.27,1,2,2,122,5,Potential Loyalist
722,1,2.95,1,1,1,111,3,Needs Attention
3,5128,57120.909999999996,4,4,4,444,12,Champions
480,40,422.85999999999996,1,2,2,122,5,Potential Loyalist
36,21,147.35,3,1,1,311,5,Potential Loyalist
15,530,5700.51,4,4,4,444,12,Champions
137,26,194.9,2,2,1,221,5,Potential Loyalist
73,91,9942.13,3,3,4,334,10,Champions
4,84,1314.73,4,3,3,433,10,Champions
664,1,0.0,1,1,1,111,3,Needs Attention
154,143,771.5799999999999,2,3,2,232,7,Loyal Customers
84,293,5703.9800000000005,3,4,4,344,11,Champions
736,1,214.79999999999998,1,1,1,111,3,Needs Attention
51,239,4853.7,3,4,4,344,11,Champions
30,55,1041.21,3,3,3,333,9,Champions
22,14,80.2,4,1,1,411,6,Potential Loyalist
3,403,12957.6,4,4,4,444,12,Champions
13,11,688.6,4,1,2,412,7,Loyal Customers
22,358,5524.51,4,4,4,444,12,Champions
3,145,6156.75,4,4,4,444,12,Champions
273,74,1364.09,2,3,3,233,8,Loyal Customers
501,22,622.6700000000001,1,2,2,122,5,Potential Loyalist
19,72,1382.74,4,3,3,433,10,Champions
143,3,90.0,2,1,1,211,4,Needs Attention
428,15,458.45,1,1,2,112,4,Needs Attention
353,12,163.47,2,1,1,211,4,Needs Attention
429,1,-23.8,1,1,1,111,3,Needs Attention
3,161,2740.3,4,4,4,444,12,Champions
394,16,309.77,1,1,1,111,3,Needs Attention
732,24,436.18,1,2,2,122,5,Potential Loyalist
83,5,419.58000000000004,3,1,2,312,6,Potential Loyalist
10,167,2740.43,4,4,4,444,12,Champions
7,44,1109.96,4,2,3,423,9,Champions
122,117,1900.0800000000002,2,3,3,233,8,Loyal Customers
60,66,909.36,3,3,3,333,9,Champions
1,109,2591.34,4,3,4,434,11,Champions
318,224,1882.67,2,4,3,243,9,Champions
648,52,187.87,1,2,1,121,4,Needs Attention
1,201,3580.13,4,4,4,444,12,Champions
129,38,895.8399999999999,2,2,3,223,7,Loyal Customers
382,180,11123.35,1,4,4,144,9,Champions
1,257,9605.05,4,4,4,444,12,Champions
400,108,1553.96,1,3,3,133,7,Loyal Customers
681,14,294.1,1,1,1,111,3,Needs Attention
1,47,982.3800000000001,4,2,3,423,9,Champions
45,69,1086.8,3,3,3,333,9,Champions
3,67,920.05,4,3,3,433,10,Champions
2,46,879.0300000000001,4,2,3,423,9,Champions
372,70,967.75,2,3,3,233,8,Loyal Customers
133,7,115.8,2,1,1,211,4,Needs Attention
485,1,30.599999999999998,1,1,1,111,3,Needs Attention
46,26,7006.05,3,2,4,324,9,Champions
8,491,8208.87,4,4,4,444,12,Champions
48,33,2019.3,3,2,3,323,8,Loyal Customers
233,17,466.29,2,1,2,212,5,Potential Loyalist
212,40,259.43,2,2,1,221,5,Potential Loyalist
35,26,658.64,3,2,2,322,7,Loyal Customers
672,45,666.7,1,2,2,122,5,Potential Loyalist
74,135,1975.44,3,3,3,333,9,Champions
482,17,233.4,1,1,1,111,3,Needs Attention
238,294,6263.6,2,4,4,244,10,Champions
265,6,118.75,2,1,1,211,4,Needs Attention
9,4130,296564.69,4,4,4,444,12,Champions
19,90,970.33,4,3,3,433,10,Champions
39,41,507.66,3,2,2,322,7,Loyal Customers
19,1885,7571.88,4,4,4,444,12,Champions
609,107,8421.47,1,3,4,134,8,Loyal Customers
215,310,3318.88,2,4,4,244,10,Champions
173,25,289.36,2,2,1,221,5,Potential Loyalist
86,58,2594.62,3,3,4,334,10,Champions
70,29,1631.77,3,2,3,323,8,Loyal Customers
275,25,122.53999999999999,2,2,1,221,5,Potential Loyalist
504,53,256.85,1,2,1,121,4,Needs Attention
38,121,1296.49,3,3,3,333,9,Champions
420,17,305.9,1,1,1,111,3,Needs Attention
430,67,624.4300000000001,1,3,2,132,6,Potential Loyalist
374,165,597.33,2,4,2,242,8,Loyal Customers
97,64,498.79,2,3,2,232,7,Loyal Customers
604,55,389.97,1,3,2,132,6,Potential Loyalist
10,34,566.95,4,2,2,422,8,Loyal Customers
32,26,134.46,3,2,1,321,6,Potential Loyalist
50,369,7350.44,3,4,4,344,11,Champions
296,47,913.11,2,2,3,223,7,Loyal Customers
84,211,2224.39,3,4,4,344,11,Champions
8,327,1620.93,4,4,3,443,11,Champions
40,165,719.78,3,4,2,342,9,Champions
10,312,6110.75,4,4,4,444,12,Champions
410,54,310.55,1,3,1,131,5,Potential Loyalist
443,52,660.07,1,2,2,122,5,Potential Loyalist
410,35,286.29,1,2,1,121,4,Needs Attention
66,24,452.89,3,2,2,322,7,Loyal Customers
330,3,197.65,2,1,1,211,4,Needs Attention
426,104,1550.63,1,3,3,133,7,Loyal Customers
473,8,123.5,1,1,1,111,3,Needs Attention
8,71,2018.91,4,3,3,433,10,Champions
1,328,5764.62,4,4,4,444,12,Champions
665,1,79.9,1,1,1,111,3,Needs Attention
1,271,4713.41,4,4,4,444,12,Champions
387,14,293.74,1,1,1,111,3,Needs Attention
67,64,1210.19,3,3,3,333,9,Champions
4,986,18442.87,4,4,4,444,12,Champions
201,22,2381.24,2,2,4,224,8,Loyal Customers
106,6,335.52,2,1,2,212,5,Potential Loyalist
410,20,390.05,1,1,2,112,4,Needs Attention
3,97,1527.58,4,3,3,433,10,Champions
217,20,916.4999999999999,2,1,3,213,6,Potential Loyalist
616,21,379.2,1,1,2,112,4,Needs Attention
59,57,1134.14,3,3,3,333,9,Champions
380,29,847.76,2,2,3,223,7,Loyal Customers
396,16,339.34,1,1,2,112,4,Needs Attention
1,232,1062.96,4,4,3,443,11,Champions
10,154,1908.38,4,4,3,443,11,Champions
238,73,1145.21,2,3,3,233,8,Loyal Customers
687,2,157.8,1,1,1,111,3,Needs Attention
94,35,567.05,3,2,2,322,7,Loyal Customers
10,237,4937.37,4,4,4,444,12,Champions
90,336,5814.320000000001,3,4,4,344,11,Champions
52,253,4301.69,3,4,4,344,11,Champions
89,21,2190.14,3,1,4,314,8,Loyal Customers
371,15,-1192.2,2,1,1,211,4,Needs Attention
30,70,1000.23,3,3,3,333,9,Champions
11,193,3404.53,4,4,4,444,12,Champions
2,79,2142.39,4,3,3,433,10,Champions
1,192,3206.87,4,4,4,444,12,Champions
42,12,169.48000000000002,3,1,1,311,5,Potential Loyalist
3,43,633.83,4,2,2,422,8,Loyal Customers
246,38,1515.0,2,2,3,223,7,Loyal Customers
41,349,6506.59,3,4,4,344,11,Champions
176,41,683.17,2,2,2,222,6,Potential Loyalist
91,61,975.23,3,3,3,333,9,Champions
109,238,1897.9,2,4,3,243,9,Champions
434,91,2015.12,1,3,3,133,7,Loyal Customers
28,105,2967.78,3,3,4,334,10,Champions
25,388,6327.31,3,4,4,344,11,Champions
437,38,745.5,1,2,2,122,5,Potential Loyalist
51,78,2468.99,3,3,4,334,10,Champions
435,33,979.8000000000001,1,2,3,123,6,Potential Loyalist
178,73,1131.97,2,3,3,233,8,Loyal Customers
31,118,2043.93,3,3,3,333,9,Champions
43,77,2766.96,3,3,4,334,10,Champions
21,159,775.46,4,4,2,442,10,Champions
9,149,4666.99,4,4,4,444,12,Champions
80,52,1732.74,3,2,3,323,8,Loyal Customers
372,36,627.04,2,2,2,222,6,Potential Loyalist
325,13,434.23,2,1,2,212,5,Potential Loyalist
42,215,4203.72,3,4,4,344,11,Champions
29,61,1247.49,3,3,3,333,9,Champions
183,12,333.70000000000005,2,1,2,212,5,Potential Loyalist
234,16,280.55,2,1,1,211,4,Needs Attention
8,382,7365.36,4,4,4,444,12,Champions
658,20,354.82,1,1,2,112,4,Needs Attention
175,112,1677.48,2,3,3,233,8,Loyal Customers
110,75,1474.06,2,3,3,233,8,Loyal Customers
277,118,769.71,2,3,2,232,7,Loyal Customers
317,47,1032.95,2,2,3,223,7,Loyal Customers
410,291,5625.461,1,4,4,144,9,Champions
6,111,1904.05,4,3,3,433,10,Champions
1,78,2879.7000000000003,4,3,4,434,11,Champions
380,10,350.99,2,1,2,212,5,Potential Loyalist
492,12,363.40000000000003,1,1,2,112,4,Needs Attention
432,23,601.03,1,2,2,122,5,Potential Loyalist
545,4,-1441.6,1,1,1,111,3,Needs Attention
253,139,2397.34,2,3,4,234,9,Champions
50,241,5942.0,3,4,4,344,11,Champions
8,312,31027.35,4,4,4,444,12,Champions
141,5,120.0,2,1,1,211,4,Needs Attention
470,51,824.28,1,2,2,122,5,Potential Loyalist
50,52,1163.45,3,2,3,323,8,Loyal Customers
7,143,2618.23,4,3,4,434,11,Champions
422,16,322.93,1,1,1,111,3,Needs Attention
154,84,1461.3600000000001,2,3,3,233,8,Loyal Customers
108,79,1373.35,2,3,3,233,8,Loyal Customers
427,1,40.56,1,1,1,111,3,Needs Attention
150,68,1259.19,2,3,3,233,8,Loyal Customers
470,19,354.85,1,1,2,112,4,Needs Attention
434,20,261.68,1,1,1,111,3,Needs Attention
331,29,492.65000000000003,2,2,2,222,6,Potential Loyalist
225,39,219.13,2,2,1,221,5,Potential Loyalist
73,64,920.81,3,3,3,333,9,Champions
50,29,559.97,3,2,2,322,7,Loyal Customers
685,15,256.6,1,1,1,111,3,Needs Attention
395,23,1189.3799999999999,1,2,3,123,6,Potential Loyalist
87,144,1929.32,3,3,3,333,9,Champions
14,468,4324.47,4,4,4,444,12,Champions
409,13,205.83,1,1,1,111,3,Needs Attention
520,3,191.86,1,1,1,111,3,Needs Attention
196,8,134.04,2,1,1,211,4,Needs Attention
407,7,245.15,1,1,1,111,3,Needs Attention
2,255,7844.66,4,4,4,444,12,Champions
462,41,628.4399999999999,1,2,2,122,5,Potential Loyalist
30,69,1282.85,3,3,3,333,9,Champions
20,62,3158.64,4,3,4,434,11,Champions
23,510,8396.7,4,4,4,444,12,Champions
7,11,151.23000000000002,4,1,1,411,6,Potential Loyalist
211,17,413.85,2,1,2,212,5,Potential Loyalist
8,47,911.26,4,2,3,423,9,Champions
10,172,4208.93,4,4,4,444,12,Champions
1,497,7844.4,4,4,4,444,12,Champions
7,207,8887.9,4,4,4,444,12,Champions
2,135,3174.33,4,3,4,434,11,Champions
406,23,375.34,1,2,2,122,5,Potential Loyalist
39,76,2316.06,3,3,4,334,10,Champions
413,28,448.45,1,2,2,122,5,Potential Loyalist
17,64,1284.06,4,3,3,433,10,Champions
2,2868,90489.31,4,4,4,444,12,Champions
7,371,12827.77,4,4,4,444,12,Champions
18,3,43.2,4,1,1,411,6,Potential Loyalist
107,60,1956.23,2,3,3,233,8,Loyal Customers
430,28,742.9000000000001,1,2,2,122,5,Potential Loyalist
406,22,277.94,1,2,1,121,4,Needs Attention
222,99,1523.81,2,3,3,233,8,Loyal Customers
70,110,1803.76,3,3,3,333,9,Champions
50,48,3141.5,3,2,4,324,9,Champions
88,311,5063.08,3,4,4,344,11,Champions
548,5,-849.45,1,1,1,111,3,Needs Attention
7,195,3747.96,4,4,4,444,12,Champions
432,22,492.1,1,2,2,122,5,Potential Loyalist
224,38,435.90000000000003,2,2,2,222,6,Potential Loyalist
46,180,3090.29,3,4,4,344,11,Champions
623,1,-302.31,1,1,1,111,3,Needs Attention
106,11,221.9,2,1,1,211,4,Needs Attention
20,137,3168.72,4,3,4,434,11,Champions
421,32,1355.34,1,2,3,123,6,Potential Loyalist
64,24,508.58000000000004,3,2,2,322,7,Loyal Customers
459,9,158.02,1,1,1,111,3,Needs Attention
423,27,476.95000000000005,1,2,2,122,5,Potential Loyalist
206,93,1204.1200000000001,2,3,3,233,8,Loyal Customers
10,181,2198.58,4,4,4,444,12,Champions
426,17,384.3,1,1,2,112,4,Needs Attention
114,41,574.26,2,2,2,222,6,Potential Loyalist
409,41,701.61,1,2,2,122,5,Potential Loyalist
569,18,245.48000000000002,1,1,1,111,3,Needs Attention
234,58,923.98,2,3,3,233,8,Loyal Customers
162,106,1894.93,2,3,3,233,8,Loyal Customers
430,3,-445.06,1,1,1,111,3,Needs Attention
8,572,9735.52,4,4,4,444,12,Champions
623,13,200.63,1,1,1,111,3,Needs Attention
123,28,462.65999999999997,2,2,2,222,6,Potential Loyalist
22,63,1943.51,4,3,3,433,10,Champions
63,19,351.45,3,1,2,312,6,Potential Loyalist
16,260,4292.98,4,4,4,444,12,Champions
15,63,468.26,4,3,2,432,9,Champions
16,90,1614.91,4,3,3,433,10,Champions
730,36,-658.63,1,2,1,121,4,Needs Attention
157,53,894.1,2,2,3,223,7,Loyal Customers
234,27,600.66,2,2,2,222,6,Potential Loyalist
218,6,134.7,2,1,1,211,4,Needs Attention
44,268,4443.47,3,4,4,344,11,Champions
20,37,842.74,4,2,2,422,8,Loyal Customers
420,238,1088.91,1,4,3,143,8,Loyal Customers
126,243,3333.7000000000003,2,4,4,244,10,Champions
38,6,108.97999999999999,3,1,1,311,5,Potential Loyalist
120,146,2315.75,2,4,4,244,10,Champions
736,6,82.6,1,1,1,111,3,Needs Attention
259,18,409.57,2,1,2,212,5,Potential Loyalist
9,31,133.5,4,2,1,421,7,Loyal Customers
270,62,947.8,2,3,3,233,8,Loyal Customers
164,1,51.0,2,1,1,211,4,Needs Attention
156,47,1078.96,2,2,3,223,7,Loyal Customers
214,25,376.5,2,2,2,222,6,Potential Loyalist
5,9,163.62,4,1,1,411,6,Potential Loyalist
365,71,1014.45,2,3,3,233,8,Loyal Customers
59,38,666.9399999999999,3,2,2,322,7,Loyal Customers
42,41,225.77,3,2,1,321,6,Potential Loyalist
388,26,384.29999999999995,1,2,2,122,5,Potential Loyalist
18,58,882.58,4,3,3,433,10,Champions
31,118,2128.23,3,3,3,333,9,Champions
578,14,214.70999999999998,1,1,1,111,3,Needs Attention
21,41,161.2,4,2,1,421,7,Loyal Customers
401,8,227.47000000000003,1,1,1,111,3,Needs Attention
108,69,3717.35,2,3,4,234,9,Champions
394,51,634.68,1,2,2,122,5,Potential Loyalist
524,1,136.0,1,1,1,111,3,Needs Attention
7,533,9167.82,4,4,4,444,12,Champions
319,8,155.0,2,1,1,211,4,Needs Attention
641,26,469.13,1,2,2,122,5,Potential Loyalist
450,49,1092.13,1,2,3,123,6,Potential Loyalist
294,4,100.5,2,1,1,211,4,Needs Attention
442,39,830.1800000000001,1,2,2,122,5,Potential Loyalist
357,4,76.55,2,1,1,211,4,Needs Attention
540,7,108.0,1,1,1,111,3,Needs Attention
184,216,1132.99,2,4,3,243,9,Champions
682,18,215.46,1,1,1,111,3,Needs Attention
190,11,617.05,2,1,2,212,5,Potential Loyalist
621,9,131.25,1,1,1,111,3,Needs Attention
43,129,1268.91,3,3,3,333,9,Champions
602,2,-99.72999999999999,1,1,1,111,3,Needs Attention
51,114,631.34,3,3,2,332,8,Loyal Customers
25,303,1240.85,3,4,3,343,10,Champions
37,59,1247.69,3,3,3,333,9,Champions
500,3,58.5,1,1,1,111,3,Needs Attention
8,14,202.11,4,1,1,411,6,Potential Loyalist
296,7,142.4,2,1,1,211,4,Needs Attention
32,140,1770.56,3,3,3,333,9,Champions
8,428,6589.3,4,4,4,444,12,Champions
8,118,1821.07,4,3,3,433,10,Champions
9,499,6323.33,4,4,4,444,12,Champions
